"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","first_yes_date","yeartype","dop","year","ind_phen_year","series_yrs"
8418,32.363758,-94.873947,288,"Bombus","spp.","bumblebee","Animalia",30797,312,"Flower visitation",2013,3,18,77,2456370,5,"30797_Flower visitation","Feeding","TX",2013-03-18,"calendar",77,2013,"30797_Flower visitation_2013",11
8418,32.363758,-94.873947,288,"Bombus","spp.","bumblebee","Animalia",30797,327,"Adults",2013,3,18,77,2456370,5,"30797_Adults","Adults observed","TX",2013-03-18,"calendar",77,2013,"30797_Adults_2013",11
10145,42.602543,-83.250992,288,"Bombus","spp.","bumblebee","Animalia",38858,327,"Adults",2013,6,16,167,2456460,1,"38858_Adults","Adults observed","MI",2013-06-16,"calendar",167,2013,"38858_Adults_2013",13
10145,42.602543,-83.250992,391,"Pieris","rapae","cabbage white","Animalia",38859,327,"Adults",2013,5,6,126,2456419,1,"38859_Adults","Adults observed","MI",2013-05-06,"calendar",126,2013,"38859_Adults_2013",13
10145,42.602543,-83.250992,272,"Anax","junius","common green darner","Animalia",38869,327,"Adults",2013,8,20,232,2456525,1,"38869_Adults","Adults observed","MI",2013-08-20,"calendar",232,2013,"38869_Adults_2013",13
10145,42.602543,-83.250992,396,"Danaus","plexippus","monarch","Animalia",38919,327,"Adults",2013,8,2,214,2456507,1,"38919_Adults","Adults observed","MI",2013-08-02,"calendar",214,2013,"38919_Adults_2013",13
10145,42.602543,-83.250992,1137,"Nymphalis","antiopa","mourning cloak","Animalia",38921,327,"Adults",2013,10,1,274,2456567,1,"38921_Adults","Adults observed","MI",2013-10-01,"calendar",274,2013,"38921_Adults_2013",12
10145,42.602543,-83.250992,1132,"Colias","eurytheme","orange sulphur","Animalia",38930,327,"Adults",2013,8,22,234,2456527,1,"38930_Adults","Adults observed","MI",2013-08-22,"calendar",234,2013,"38930_Adults_2013",13
1419,42.011166,-88.503304,288,"Bombus","spp.","bumblebee","Animalia",10284,312,"Flower visitation",2014,7,31,212,2456870,8,"10284_Flower visitation","Feeding","IL",2014-07-31,"calendar",212,2014,"10284_Flower visitation_2014",12
1419,42.011166,-88.503304,288,"Bombus","spp.","bumblebee","Animalia",10284,327,"Adults",2014,5,3,123,2456781,12,"10284_Adults","Adults observed","IL",2014-05-03,"calendar",123,2014,"10284_Adults_2014",13
