"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","series_yrs","first_yes_date","yeartype","dop","year","resident","present_jan1","ind_phen_year"
8715,43.522804,-70.802277,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",28193,292,"Live individuals",2012,5,28,149,2456076,6,"28193_Live individuals","Adults observed","ME",14,2012-05-28,"calendar",149,2012,FALSE,0,"28193_Live individuals_2012"
8736,44.903229,-93.217445,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",28356,292,"Live individuals",2012,8,9,222,2456149,3,"28356_Live individuals","Adults observed","MN",10,2012-08-09,"calendar",222,2012,FALSE,0,"28356_Live individuals_2012"
8242,31.596231,-110.575493,1104,"Hirundo","rustica","barn swallow","Animalia",29638,292,"Live individuals",2012,7,26,208,2456135,NA,"29638_Live individuals","Adults observed","AZ",10,2012-07-26,"calendar",208,2012,FALSE,0,"29638_Live individuals_2012"
8418,32.363758,-94.873947,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",30980,292,"Live individuals",2012,8,18,231,2456158,NA,"30980_Live individuals","Adults observed","TX",12,2012-08-18,"calendar",231,2012,FALSE,0,"30980_Live individuals_2012"
8496,46.328629,-96.061256,375,"Zenaida","macroura","mourning dove","Animalia",32296,292,"Live individuals",2012,10,29,303,2456230,NA,"32296_Live individuals","Adults observed","MN",14,2012-10-29,"calendar",303,2012,FALSE,0,"32296_Live individuals_2012"
9344,35.640373,-83.692863,377,"Vireo","olivaceus","red-eyed vireo","Animalia",32889,293,"Calls or song (birds)",2012,5,10,131,2456058,11,"32889_Calls or song (birds)","Adults observed","TN",10,2012-05-10,"calendar",131,2012,FALSE,0,"32889_Calls or song (birds)_2012"
9341,35.639874,-83.687721,1098,"Setophaga","virens","black-throated green warbler","Animalia",75375,293,"Calls or song (birds)",2012,4,1,92,2456019,10,"75375_Calls or song (birds)","Adults observed","TN",13,2012-04-01,"calendar",92,2012,FALSE,0,"75375_Calls or song (birds)_2012"
9340,35.642353,-83.687431,1236,"Setophaga","citrina","hooded warbler","Animalia",75396,293,"Calls or song (birds)",2012,4,7,98,2456025,7,"75396_Calls or song (birds)","Adults observed","TN",9,2012-04-07,"calendar",98,2012,FALSE,0,"75396_Calls or song (birds)_2012"
8806,35.640625,-83.689034,1098,"Setophaga","virens","black-throated green warbler","Animalia",75401,293,"Calls or song (birds)",2012,4,4,95,2456022,12,"75401_Calls or song (birds)","Adults observed","TN",14,2012-04-04,"calendar",95,2012,FALSE,0,"75401_Calls or song (birds)_2012"
8806,35.640625,-83.689034,1230,"Setophaga","americana","northern parula","Animalia",75406,293,"Calls or song (birds)",2012,4,4,95,2456022,12,"75406_Calls or song (birds)","Adults observed","TN",11,2012-04-04,"calendar",95,2012,FALSE,0,"75406_Calls or song (birds)_2012"
8806,35.640625,-83.689034,377,"Vireo","olivaceus","red-eyed vireo","Animalia",75407,293,"Calls or song (birds)",2012,4,11,102,2456029,7,"75407_Calls or song (birds)","Adults observed","TN",14,2012-04-11,"calendar",102,2012,FALSE,0,"75407_Calls or song (birds)_2012"
681,41.296783,-105.5746,246,"Turdus","migratorius","American robin","Animalia",6025,292,"Live individuals",2013,3,26,85,2456378,NA,"6025_Live individuals","Adults observed","WY",10,2013-03-26,"calendar",85,2013,FALSE,0,"6025_Live individuals_2013"
1419,42.011166,-88.503304,244,"Charadrius","vociferus","killdeer","Animalia",10286,293,"Calls or song (birds)",2013,3,28,87,2456380,2,"10286_Calls or song (birds)","Adults observed","IL",12,2013-03-28,"calendar",87,2013,FALSE,0,"10286_Calls or song (birds)_2013"
1447,42.176537,-85.892448,360,"Icterus","galbula","Baltimore oriole","Animalia",11246,293,"Calls or song (birds)",2013,5,19,139,2456432,7,"11246_Calls or song (birds)","Adults observed","MI",9,2013-05-19,"calendar",139,2013,FALSE,0,"11246_Calls or song (birds)_2013"
5428,48.033489,-122.598724,240,"Spinus","tristis","American goldfinch","Animalia",11347,292,"Live individuals",2013,8,2,214,2456507,NA,"11347_Live individuals","Adults observed","WA",14,2013-08-02,"calendar",214,2013,FALSE,0,"11347_Live individuals_2013"
5582,45.195858,-70.45369,246,"Turdus","migratorius","American robin","Animalia",12466,292,"Live individuals",2013,5,2,122,2456415,17,"12466_Live individuals","Adults observed","ME",9,2013-05-02,"calendar",122,2013,FALSE,0,"12466_Live individuals_2013"
