"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","series_yrs","first_yes_date","yeartype","dop","year","resident","present_jan1","ind_phen_year"
8496,46.328629,-96.061256,375,"Zenaida","macroura","mourning dove","Animalia",32296,292,"Live individuals",2014,1,23,23,2456681,5,"32296_Live individuals","Adults observed","MN",11,2014-01-23,"calendar",23,2014,FALSE,0,"32296_Live individuals_2014"
10145,42.602543,-83.250992,1193,"Setophaga","ruticilla","American redstart","Animalia",38839,293,"Calls or song (birds)",2014,5,11,131,2456789,1,"38839_Calls or song (birds)","Adults observed","MI",9,2014-05-11,"calendar",131,2014,FALSE,0,"38839_Calls or song (birds)_2014"
10145,42.602543,-83.250992,1104,"Hirundo","rustica","barn swallow","Animalia",38845,292,"Live individuals",2014,6,9,160,2456818,1,"38845_Live individuals","Adults observed","MI",13,2014-06-09,"calendar",160,2014,FALSE,0,"38845_Live individuals_2014"
10145,42.602543,-83.250992,363,"Molothrus","ater","brown-headed cowbird","Animalia",38857,292,"Live individuals",2014,4,14,104,2456762,1,"38857_Live individuals","Adults observed","MI",13,2014-04-14,"calendar",104,2014,FALSE,0,"38857_Live individuals_2014"
10145,42.602543,-83.250992,1093,"Chaetura","pelagica","chimney swift","Animalia",38864,292,"Live individuals",2014,5,26,146,2456804,1,"38864_Live individuals","Adults observed","MI",13,2014-05-26,"calendar",146,2014,FALSE,0,"38864_Live individuals_2014"
10145,42.602543,-83.250992,355,"Troglodytes","aedon","house wren","Animalia",38908,292,"Live individuals",2014,5,20,140,2456798,1,"38908_Live individuals","Adults observed","MI",13,2014-05-20,"calendar",140,2014,FALSE,0,"38908_Live individuals_2014"
10145,42.602543,-83.250992,248,"Pandion","haliaetus","osprey","Animalia",38931,292,"Live individuals",2014,5,4,124,2456782,1,"38931_Live individuals","Adults observed","MI",9,2014-05-04,"calendar",124,2014,FALSE,0,"38931_Live individuals_2014"
10145,42.602543,-83.250992,359,"Agelaius","phoeniceus","red-winged blackbird","Animalia",38946,292,"Live individuals",2014,3,20,79,2456737,1,"38946_Live individuals","Adults observed","MI",13,2014-03-20,"calendar",79,2014,FALSE,0,"38946_Live individuals_2014"
10145,42.602543,-83.250992,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",38951,292,"Live individuals",2014,5,16,136,2456794,2,"38951_Live individuals","Adults observed","MI",11,2014-05-16,"calendar",136,2014,FALSE,0,"38951_Live individuals_2014"
10717,38.285664,-111.246605,246,"Turdus","migratorius","American robin","Animalia",42593,292,"Live individuals",2014,3,26,85,2456743,1,"42593_Live individuals","Adults observed","UT",10,2014-03-26,"calendar",85,2014,FALSE,0,"42593_Live individuals_2014"
