"group","common_name","phenophase_description","site_id","latitude","longitude","n","resident","jan1","present_jan1"
"Bird","American goldfinch","Live individuals",1447,42.176537,-85.892448,10,FALSE,"nb",1
"Bird","American goldfinch","Live individuals",6481,42.456135,-72.344215,10,FALSE,"nb",1
"Bird","American goldfinch","Live individuals",8418,32.363758,-94.873947,10,FALSE,"nb",1
"Bird","American kestrel","Live individuals",8242,31.596231,-110.575493,10,FALSE,"nb",1
"Bird","American robin","Calls or song (birds)",5582,45.195858,-70.45369,10,FALSE,"nb",0
"Bird","American robin","Calls or song (birds)",8496,46.328629,-96.061256,10,FALSE,"nb",1
"Bird","American robin","Individuals at a feeding station",8418,32.363758,-94.873947,10,FALSE,"nb",1
"Bird","American robin","Live individuals",8715,43.522804,-70.802277,10,FALSE,"nb",1
"Bird","American robin","Live individuals",10717,38.285664,-111.246605,10,FALSE,"nb",1
"Bird","American robin","Nest building (birds)",9652,44.768246,-94.155746,10,FALSE,"nb",0
"Bird","Anna's hummingbird","Calls or song (birds)",19944,33.66478,-117.843063,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Calls or song (birds)",20765,33.632149,-117.55545,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Calls or song (birds)",20956,33.632149,-117.55545,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Flower visitation",5428,48.033489,-122.598724,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Flower visitation",18529,33.630066,-112.147385,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Flower visitation",19944,33.66478,-117.843063,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Individuals at a feeding station",18529,33.630066,-112.147385,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Insect consumption",18529,33.630066,-112.147385,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Insect consumption",19944,33.66478,-117.843063,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Live individuals",18529,33.630066,-112.147385,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Live individuals",19944,33.66478,-117.843063,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Live individuals",20765,33.632149,-117.55545,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Live individuals",20956,33.632149,-117.55545,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Live individuals",22740,38.525036,-121.970711,10,FALSE,"m1",1
"Bird","Anna's hummingbird","Singing individuals (birds)",19944,33.66478,-117.843063,10,FALSE,"m1",1
"Bird","California thrasher","Calls or song (birds)",20956,33.632149,-117.55545,10,TRUE,NA,1
"Bird","California thrasher","Singing individuals (birds)",20956,33.632149,-117.55545,10,TRUE,NA,1
"Bird","California towhee","Calls or song (birds)",20956,33.632149,-117.55545,10,TRUE,NA,1
"Bird","California towhee","Live individuals",20956,33.632149,-117.55545,10,TRUE,NA,1
"Bird","Carolina wren","Calls or song (birds)",8923,42.286381,-72.653831,10,TRUE,NA,1
"Bird","Carolina wren","Calls or song (birds)",9344,35.640373,-83.692863,10,TRUE,NA,1
"Bird","acorn woodpecker","Calls or song (birds)",17707,37.360123,-122.128151,10,TRUE,NA,1
"Bird","acorn woodpecker","Calls or song (birds)",22740,38.525036,-121.970711,10,TRUE,NA,1
"Bird","acorn woodpecker","Live individuals",6100,34.118332,-118.758636,10,TRUE,NA,1
"Bird","acorn woodpecker","Live individuals",17707,37.360123,-122.128151,10,TRUE,NA,1
"Bird","acorn woodpecker","Live individuals",22740,38.525036,-121.970711,10,TRUE,NA,1
"Bird","barn swallow","Live individuals",8242,31.596231,-110.575493,10,FALSE,"nb",0
"Bird","black phoebe","Calls or song (birds)",19944,33.66478,-117.843063,10,FALSE,"nb",1
"Bird","black phoebe","Calls or song (birds)",20765,33.632149,-117.55545,10,FALSE,"nb",1
"Bird","black phoebe","Insect consumption",19944,33.66478,-117.843063,10,FALSE,"nb",1
"Bird","black phoebe","Live individuals",19944,33.66478,-117.843063,10,FALSE,"nb",1
"Bird","black phoebe","Live individuals",20765,33.632149,-117.55545,10,FALSE,"nb",1
"Bird","black phoebe","Singing individuals (birds)",19944,33.66478,-117.843063,10,FALSE,"nb",1
"Bird","black-capped chickadee","Calls or song (birds)",8736,44.903229,-93.217445,10,TRUE,NA,1
"Bird","black-capped chickadee","Calls or song (birds)",10145,42.602543,-83.250992,10,TRUE,NA,1
"Bird","black-capped chickadee","Fruit/seed consumption",1447,42.176537,-85.892448,10,TRUE,NA,1
"Bird","black-capped chickadee","Singing individuals (birds)",8736,44.903229,-93.217445,10,TRUE,NA,1
